,ID,year,unemployment_rate,FIPS_CODE,ID_x,area_name,state_fips_code_x,county_fips_code_x,median_household_income,indiv_in_poverty,male_assoc_degree,male_bach_degree,male_masters_degree,male_profschool_degree,male_doctorate_degree,female_assoc_degree,female_bach_degree,female_masters_degree,female_profschool_degree,female_doctorate_degree,indiv_in_school,black_race,nativeamerican_race,asian_race,hispanic_race,num_veterans,housing_units,median_home_value,num_homes_with_mortgage,median_monthly_housing_costs,one_bedroom_housing_units,two_bedroom_housing_units,three_bedroom_housing_units,four_bedroom_housing_units,five_bedroom_housing_units,males_in_agriculture,males_in_construction,males_in_manufacturing,males_in_logistics,females_in_agriculture,females_in_construction,females_in_manufacturing,females_in_logistics,num_degree_holders,pop_nonwhite,est_total_bedrooms,pop_labor_jobs,TRANSACTION_YEAR,DRUG_NAME_HYDROCODONE,GRAMS_HYDROCODONE,QUANTITY_HYDROCODONE,Strength_HYDROCODONE,DRUG_NAME_OXYCODONE,GRAMS_OXYCODONE,QUANTITY_OXYCODONE,Strength_OXYCODONE,Opioid_Deaths,POPULATION,Opioid_death_Crude_Rate,osha_deaths,ID_y,state_fips_code_y,county_fips_code_y,nonviolent_crime_for_county,violent_crime_for_county,All_Overdose_deaths,DEATHS_CENSUS,POPESTIMATE,NPOPCHG,TRANSACTION_CODE,QUANTITY_HYDROCODONE_PER_PERSON,QUANTITY_OXYCODONE_PER_PERSON,GRAMS_HYDROCODONE_PER_PERSON,GRAMS_OXYCODONE_PER_PERSON
0,1,2006,4.962922782386723,,,USA,,,48941.65261813538,31045523.0,5294756.0,14562153.0,5693934.0,2088676.0,1293836.0,6773267.0,15241345.0,6384685.0,1344288.0,703281.0,66813195.0,34341029.0,3136232.0,14212936.0,38229525.0,18559704.0,1475372.0,194809.06768837804,43142438.0,894.8467432950191,13028956.0,28212517.0,39369543.0,16554086.0,4081485.0,406583.0,5488834.0,5815426.0,3052091.0,131278.0,568579.0,2543633.0,1060414.0,59380221.0,89919722.0,274186388.0,19066838.0,,,26134322.017971907,27539937.0,2474.444671972518,,33052446.412020046,22355493.0,4131.190972128065,21023.0,207581916.0,,,,,,15568286.843418442,1868241.8757481333,21239.6999999996,2417220.0,298550935.0,2839866.0,,0.15080723227774825,0.10507419392479049,0.15687606831756543,0.15027903459035666
1,2,2007,4.914199106573068,,,USA,,,45036.31425426527,36513779.0,6030126.0,15910214.0,6163530.0,2234048.0,1375868.0,7757298.0,16670827.0,7002178.0,1456830.0,733438.0,76046919.0,37922082.0,3887544.0,14412090.0,41186922.0,20989019.0,5353290.0,150253.27462850854,49210459.0,760.189323059989,14309890.0,33173605.0,47412961.0,18742009.0,4588293.0,793371.0,7315371.0,8193553.0,4061349.0,241405.0,773565.0,3472641.0,1378254.0,65334357.0,97408638.0,320805484.0,26229509.0,,,29335439.540550835,29679132.0,2549.6261295699214,,38611722.45701071,26420995.0,4353.075821232122,22250.0,215580593.0,,1.0,,,,17273055.093410227,2059421.1876370553,23208.8999999993,2424726.0,301537627.0,2986692.0,,0.1684820273893615,0.12072715341907411,0.17902965030475224,0.1690873953227675
2,3,2008,5.85022335673262,,,USA,,,47052.47145993414,36558637.0,6133284.0,16261718.0,6309172.0,2274423.0,1422490.0,7979764.0,17128129.0,7256418.0,1469020.0,776066.0,76365016.0,38300827.0,4110854.0,14751306.0,42483506.0,20555206.0,5384388.0,157594.01756311746,49558229.0,799.314489571899,13982024.0,32791057.0,47545944.0,19098845.0,4787375.0,837671.0,7409301.0,8337551.0,4237801.0,203118.0,3510367.0,361744.0,1246730.0,67010484.0,99646493.0,322534225.0,26144283.0,,,31334716.99832272,32052891.0,2631.5134759066464,,44344301.10209109,29402124.0,4484.590462917987,22682.0,221878074.0,,,,,,17129019.97538899,2018079.7654899461,25226.1999999991,2438427.0,304332529.0,2794902.0,,0.18559790575136684,0.13307715441727577,0.19802470309249223,0.1853250067941504
3,4,2009,9.082610082961097,,,USA,,,43452.50638162093,39525189.0,6377487.0,16712357.0,6435614.0,2334639.0,1438981.0,8284202.0,17669521.0,7463643.0,1516229.0,790181.0,79875513.0,39641677.0,4562887.0,14929490.0,45475424.0,22891425.0,9656215.0,129408.9664964901,51263388.0,758.9789406509253,14662036.0,35085764.0,50811267.0,19971286.0,5028111.0,2104642.0,9542256.0,11196416.0,5417342.0,470644.0,977621.0,4689619.0,1754467.0,69022854.0,104609478.0,342293064.0,36153007.0,,,33575232.275842056,34413144.0,2673.294312137842,,51308479.264795355,33575695.0,4127.987856297667,23073.0,222458246.0,,539.0,,,,16865214.49848546,1986116.886281397,27252.7999999988,2485807.0,306964132.0,2631603.0,,0.20201397894140283,0.15137197813726147,0.2140605985520013,0.20745431621178034
4,5,2010,9.370837312957638,,,USA,,,44283.25422108952,40907244.0,6484582.0,16988157.0,6588445.0,2358852.0,1482035.0,8536269.0,18158835.0,7772885.0,1539142.0,836516.0,80930095.0,40631592.0,4767700.0,16198517.0,47727126.0,22651019.0,9672573.0,132638.00605288308,51695106.0,775.754061803122,14723117.0,35365903.0,51747264.0,20549159.0,5250897.0,2148183.0,9166615.0,10971116.0,5421446.0,485836.0,948848.0,4609356.0,1762103.0,70745718.0,109324935.0,349147836.0,35513503.0,,,35286911.735259354,37498699.0,2654.6964007194674,,59205383.19720478,38871410.0,4458.920996635846,24645.0,232641613.0,,1262.0,,,,16411161.398518093,1886957.1630794231,29546.6999999986,598691.0,309321576.0,563561.0,,0.21523906715529048,0.16980124814733127,0.22526483189979674,0.22999435547776387
5,6,2011,8.72862145813437,,,USA,,,45299.98534565148,42729534.0,6595197.0,17285440.0,6722896.0,2386501.0,1517251.0,8747950.0,18565430.0,8050702.0,1561999.0,881433.0,81667984.0,41283316.0,4900130.0,16720082.0,49215286.0,22213680.0,9832118.0,133179.03791016247,51320303.0,795.0471487734948,14676965.0,35363990.0,52139258.0,20828863.0,5370641.0,2180649.0,8745536.0,10785378.0,5419227.0,488745.0,896520.0,4495270.0,1751863.0,72314799.0,112118814.0,351991376.0,34763188.0,,,37964793.11598088,41128780.0,2837.94953858647,,59050234.84866568,42604028.0,3771.312897539941,27564.0,240942012.0,,1324.0,,,,16290466.005097816,1819073.4530101474,31831.1999999983,2512442.0,311556784.0,2235208.0,,0.23707989720574194,0.1891156582201509,0.24495812887240279,0.244031645684756
6,7,2012,7.858293537090106,,,USA,,,45648.73877030901,44842396.0,6752742.0,17553165.0,6851274.0,2411522.0,1558029.0,8982290.0,18975303.0,8337799.0,1587892.0,928095.0,82282107.0,41943997.0,5028665.0,17285090.0,50544787.0,21852177.0,10269977.0,131982.31920993948,50669644.0,795.6272698311565,14640177.0,35337271.0,52332549.0,21000996.0,5472941.0,2210396.0,8374852.0,10677277.0,5376273.0,488660.0,846613.0,4402182.0,1719993.0,73938111.0,114802539.0,353681055.0,34096246.0,,,37871345.37964482,42104454.0,2902.2963239654587,,56882620.70173696,42028165.0,3705.7038507994034,27718.0,242268759.0,,1211.0,,,,16227193.05025632,1839125.3193784642,34313.3999999981,2501530.0,313830901.0,2274117.0,,0.23366299544755437,0.19717146649948736,0.24892998021453205,0.252702572145502
